image path,title,price,image URL
D:\study\OJT\ImagesBookSearch\backend\images\8935278602545.jpg,Chiêm Tinh Học Cơ Bản - Luận Giải Cuộc Đời Qua Biểu Đồ Chiêm Tinh,224.000đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935278602545.jpg
D:\study\OJT\ImagesBookSearch\backend\images\ha-noi-thanh-lich_tb-2024.jpg,Hà Nội Thanh Lịch (Tái Bản 2024),67.500đ,https://cdn0.fahasa.com/media/catalog/product/h/a/ha-noi-thanh-lich_tb-2024.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043089783.jpg,Những Người Nga Đầu Tiên Đến Việt Nam,287.200đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043089783.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043356533_1.jpg,Tuồng Hát Cải Lương - Khảo & Luận - 10 Năm Bổn Tuồng Đề Yếu (1922-1931),238.000đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043356533_1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\li_ch-su_-vu_---bi_a-1.jpg,Lịch Sử Vú,173.600đ,https://cdn0.fahasa.com/media/catalog/product/l/i/li_ch-su_-vu_---bi_a-1.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786043618822.jpg,"Tìm Hiểu Phong Tục, Nghi Lễ Thờ Cúng Của Người Việt Và Các Bài Văn Khấn Thường Dùng",327.850đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043618822.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8936071674777.jpg,Cẩm Nang Du Lịch Nhật Bản,187.050đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8936071674777.jpg
D:\study\OJT\ImagesBookSearch\backend\images\frame_giadinhlanho-saigonlathuong2_bia1_.jpg,Gia Định Là Nhớ - Sài Gòn Là Thương - Tập 2,100.740đ,https://cdn0.fahasa.com/media/catalog/product/thumbnailframe/product_frame_ncc/frame_giadinhlanho-saigonlathuong2_bia1_.jpg
D:\study\OJT\ImagesBookSearch\backend\images\9786045894934.jpg,Tranh Dân Gian Việt Nam - Sưu Tầm Và Nghiên Cứu - Bìa Cứng,748.000đ,https://cdn0.fahasa.com/media/catalog/product/9/7/9786045894934.jpg
D:\study\OJT\ImagesBookSearch\backend\images\8935235240629.jpg,Nghệ Thuật Du Ngoạn,134.400đ,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235240629.jpg
